Wallet,Debt,Collat Val
terra1gy66uh87wz7e7c4ll2hc8x9et68u0vy4lzehy2,1568.935809,0
terra1f0k2d77ww0ww97agzxgvewjn9p36qawqtvhfmt,1252.003692,0
terra1jllrqrnsshjv84cyeexff4aa4u6zp9kx24vdgq,177.909721,0
terra1v2pxv7hqrrqa62sxryxncfmtyw975e6e406rmx,350.132562,0
terra1pd4wl4eydvvcax7atav3lzdux2t3ed35h2704s,1687.86456,0
terra185xnmge44dxag03dg8etw76peu9nmj78jklf0a,422.234487,0
terra184ug08kzs2h0xhsy7cs7jvmgkme8yf9c8lgsj2,22672.47495,0
terra1t3jq886u5l6cc7rzx3t3mfcalsce7qrv5f2ve5,341.742542,0
terra19fqtp0kq9jg0vpc0hpvx0phrkjcwrrr3fuqlcm,2972.077222,0
terra19mcqtdrd24f0s29g5wfqd9rk6a9kwalwvw64kh,2534.722679,0
terra1x368g2vvecgy7qdd6t272qr5879xjpmykg85j2,394.924588,0
terra1cx6dkdvldmhwfzyhzx2ecy3jejr0xddlc4a5v2,200.803902,0
terra1gt9ytxhu6fzv84xsxp5ug5h9v067wl9v6l74x4,325.624079,0
terra1yh879r7rknlhyy4adsshp2vkxp7yl5kqycqw76,14000.52675,0
terra1vyt9psg6cac8qnfsrd8dfjfxwed284zq20qfye,128.567787,0
terra1g39p2nrk8efqu4yze7dhqvj0enpnmnf5z4zyt5,1158.261889,0
terra1zut83fa37d05pn9atay3228va43pa7ndatqmqd,414.10534,0
terra1m72stpjtv3jr7k6x8edve7v30wsz0yhkh2z05z,1514.181609,0
terra1xhaxvwn4drdxrcszm66x6nxzspfv8axcj83u29,225.883759,0
terra14rnju86zjgv8xrpmfd4w4r52gnxm4g3yq35r4e,387.92705,0
terra1v4chftn77tx5euflr8jake84rynm6m46m7xnmf,149.373009,0
terra12mwkj8t6er0jtsg54gdtddct2le9twfe74q5fz,378.768084,0
terra16mswe9nht2qddx6dmhj6hys453dfmer5g5js4e,113.908132,0
terra1vemsm48cehqpplu00gh2w9c5xwvmyxhrnsdsk8,28788.04028,0
terra18zqgwktkgag97y6pdeqfgfuv75u6t88xpslrmg,165.137419,0
terra1w8ep0u4dccevj8memcvxkycjzqdwzcywwv6lfn,21275.27268,0
terra1jxmescxcvtzyh04585kf8pxg3aslphf4w8xd30,157.425984,0
terra12v9hwa0vvj5nlknyrudlvcg8l5946878jvpepc,376.12768,0
terra17xw46fzjxmze3l85d6fzufs7n0wmcsuwx57ng3,263.101616,0
terra1rl4kps9c4vn79jeeqxem8w0aleve8yq7aaxxmg,360.116054,0
terra1w0lhgk3yx4dlfu2r2gck2f4ag4jwgp2hlnj3u7,1600.055663,0
terra14t7wcnt724ru430p73aqe2f24dt74njq4kc9j3,21933.87893,0
terra16n3s9257ahjrw3t9q8gzfnnwxahw3k240r3cv2,318.809368,0
terra1cvpax4tlwh2htgktk50hycyhjrszp5w6fnpcpg,1750.494982,0
terra15twnplh9zshqvds399kzv9d4aehyegk98d4f06,1203.957185,0
terra1pl4pk6aap0jv6uvdxplxgnkfeua77mf5hcvxg7,5781.030953,0
terra145xtqh7wcp3fps4c7hlh5vq0tvp7jza3jc7yw3,236.401063,0
terra1737gn30qgmjmmvxu9tu7y7xt5tgkwgtsepp76e,1518.436821,0
terra1hjzjxwnjedn4es0u4pzt97qzthz9jt5wfw2r4y,1960.240386,0
terra1sqqa39arrvq89ctr3nl2aptz0lwj42695we9pd,324.802085,0
terra1erxljk22c627p9myh7w9n5mrx5ypjghrldlguy,981.580354,0
terra1mas444nzjfr2yktfghfsetd8qvlz980vppvxnc,282.593108,0
terra1hvudt8s7xy9022r5yrq0ck370s6ekn562cpugl,776.458621,0
terra1mgsszejmtkwacm94ja3se2zzypmurrxxcu05l9,3179.393982,0
terra197kdyn8j96rwqzfas0mgyydkl5zhgf6tsczwdu,6838.23306,0
terra1xmnyp30k00j583j66luyl4eswn0h5cwc47gmfn,400.754171,0
terra18ugw3q7x57t6rx72gr6528d2scajcg6rx3yglf,1054.01137,0
terra1nqp4twk9qqzfql03wwt90wku5qs694mjmzhfvm,207.184457,0
terra1haj9anx9z55e2ru3nnwhr3j5dgsvu66v5ayld8,138.662003,0
terra1r2mx3rthd0jrhhmgjnr6yrqy6hwjpennsulfhe,436.062798,0
terra192gnja03tjnwjqc6qpr87fwcnldyg9f66r0qpa,2067.105067,0
terra19mc0t05zsc6hl7t5pmecgmgudxvzp0shn3w3uv,2056.877581,0
terra1d0dtetq6z3nw0w0yux338n6l2txtxntxke45xe,152.225398,0
terra13cdhpn5y4k5m2f0lngkpuk6evuj5snd6em8j7y,289.853398,0
terra163fsgaq8rnv68yxkm3rkhwelvm00wrtcc0x9hy,90183.85315,0
terra1mg8grlpqh2l2dg3tn6l4snpk0pezhdcewjxfva,280.712522,0
terra1rkr4h6s2lqa9kexshvdtxd4a7z934wf2gdt9x3,12413.72436,0
terra1czp8t73te6lglese8w07t2ts957qx88gr0j442,1458.258886,0
terra1s2qguq0x3qzy3l70kuv5f8mfm90l04dq9el82g,190.843346,0
